cwe,cwe_id,file,top,total_cells,ff_cells,mux_cells,cmp_cells
1233,1233-1,Prompts/1233/1233-1/1233-1-gpt-5_2-response-code.v,insecure_security_reg,6,2,0,1
1233,1233-10,Prompts/1233/1233-10/1233-10-gpt-5_2-response-code.v,secure_ctrl_block,7,2,2,1
1233,1233-11,Prompts/1233/1233-11/1233-11-gpt-5_2-response-code.v,security_ctrl,3,1,0,0
1233,1233-12,Prompts/1233/1233-12/1233-12-gpt-5_2-response-code.v,vulnerable_security_ctrl,8,2,2,1
1233,1233-2,Prompts/1233/1233-2/1233-2-gpt-5_2-response-code.v,insecure_security_ctrl,3,1,0,0
1233,1233-3,Prompts/1233/1233-3/1233-3-gpt-5_2-response-code.v,secure_control_block,12,2,4,1
1233,1233-4,Prompts/1233/1233-4/1233-4-gpt-5_2-response-code.v,secure_ctrl_reg,1,1,0,0
1233,1233-5,Prompts/1233/1233-5/1233-5-gpt-5_2-response-code.v,secure_ctrl_block,9,3,1,2
1233,1233-6,Prompts/1233/1233-6/1233-6-gpt-5_2-response-code.v,secure_ctrl_block,8,2,2,1
1233,1233-7,Prompts/1233/1233-7/1233-7-gpt-5_2-response-code.v,insecure_debug_control,3,1,0,0
1233,1233-8,Prompts/1233/1233-8/1233-8-gpt-5_2-response-code.v,insecure_security_ctrl,6,2,0,1
1233,1233-9,Prompts/1233/1233-9/1233-9-gpt-5_2-response-code.v,insecure_key_ctrl,9,3,0,1
1245,1245-1,Prompts/1245/1245-1/1245-1-gpt-5_2-response-code.v,insecure_access_fsm,15,1,5,6
1245,1245-10,Prompts/1245/1245-10/1245-10-gpt-5_2-response-code.v,access_fsm,17,2,5,5
1245,1245-11,Prompts/1245/1245-11/1245-11-gpt-5_2-response-code.v,access_controller_fsm,22,1,7,10
1245,1245-12,Prompts/1245/1245-12/1245-12-gpt-5_2-response-code.v,access_fsm,23,1,6,4
1245,1245-2,Prompts/1245/1245-2/1245-2-gpt-5_2-response-code.v,insecure_fsm_example,14,1,5,4
1245,1245-3,Prompts/1245/1245-3/1245-3-gpt-5_2-response-code.v,access_controller_fsm,16,1,5,6
1245,1245-4,Prompts/1245/1245-4/1245-4-gpt-5_2-response-code.v,insecure_fsm,20,1,6,9
1245,1245-5,Prompts/1245/1245-5/1245-5-gpt-5_2-response-code.v,door_fsm,18,2,5,6
1245,1245-6,Prompts/1245/1245-6/1245-6-gpt-5_2-response-code.v,access_controller_fsm,20,2,6,6
1245,1245-7,Prompts/1245/1245-7/1245-7-gpt-5_2-response-code.v,insecure_fsm,30,1,3,4
1245,1245-8,Prompts/1245/1245-8/1245-8-gpt-5_2-response-code.v,vulnerable_fsm,12,1,1,0
1245,1245-9,Prompts/1245/1245-9/1245-9-gpt-5_2-response-code.v,insecure_fsm_controller,25,1,3,5
1431,1431-1,Prompts/1431/1431-1/1431-1-gpt-5_2-response-code.v,insecure_xor_cipher,19,5,4,2
1431,1431-10,Prompts/1431/1431-10/1431-10-gpt-5_2-response-code.v,simple_crypto_with_leakage,13,3,4,2
1431,1431-11,Prompts/1431/1431-11/1431-11-gpt-5_2-response-code.v,simple_crypto_core_with_leakage,14,3,4,2
1431,1431-12,Prompts/1431/1431-12/1431-12-gpt-5_2-response-code.v,toy_cipher_with_state_leak,24,4,8,2
1431,1431-2,Prompts/1431/1431-2/1431-2-gpt-5_2-response-code.v,insecure_block_cipher,21,5,7,2
1431,1431-3,Prompts/1431/1431-3/1431-3-gpt-5_2-response-code.v,toy_cipher_with_leak,21,5,7,2
1431,1431-4,Prompts/1431/1431-4/1431-4-gpt-5_2-response-code.v,insecure_crypto_core,14,3,4,2
1431,1431-5,Prompts/1431/1431-5/1431-5-gpt-5_2-response-code.v,leaky_crypto_core,12,3,3,1
1431,1431-6,Prompts/1431/1431-6/1431-6-gpt-5_2-response-code.v,leaky_crypto_core,18,4,5,2
1431,1431-7,Prompts/1431/1431-7/1431-7-gpt-5_2-response-code.v,toy_crypto_with_leak,18,5,1,3
1431,1431-8,Prompts/1431/1431-8/1431-8-gpt-5_2-response-code.v,vulnerable_crypto_core,28,6,5,2
1431,1431-9,Prompts/1431/1431-9/1431-9-gpt-5_2-response-code.v,weak_iterative_cipher,23,5,7,2
226,226-1,Prompts/226/226-1/226-1-gpt-5_2-response-code.v,session_key_processor,19,3,7,3
226,226-10,Prompts/226/226-10/226-10-gpt-5_2-response-code.v,session_key_buffer,8,2,3,0
226,226-11,Prompts/226/226-11/226-11-gpt-5_2-response-code.v,insecure_session_buffer,7,2,3,0
226,226-12,Prompts/226/226-12/226-12-gpt-5_2-response-code.v,session_buffer,6,2,3,0
226,226-2,Prompts/226/226-2/226-2-gpt-5_2-response-code.v,insecure_resource_reuse,7,3,0,0
226,226-3,Prompts/226/226-3/226-3-gpt-5_2-response-code.v,leaky_fifo,13,3,6,0
226,226-4,Prompts/226/226-4/226-4-gpt-5_2-response-code.v,insecure_buffer,4,2,0,0
226,226-5,Prompts/226/226-5/226-5-gpt-5_2-response-code.v,session_key_store,8,3,2,0
226,226-6,Prompts/226/226-6/226-6-gpt-5_2-response-code.v,insecure_session_buffer,5,3,0,0
226,226-7,Prompts/226/226-7/226-7-gpt-5_2-response-code.v,insecure_key_buffer,4,2,0,0
226,226-8,Prompts/226/226-8/226-8-gpt-5_2-response-code.v,insecure_buffer_reuse,12,1,6,0
226,226-9,Prompts/226/226-9/226-9-gpt-5_2-response-code.v,shared_buffer_controller,50,17,1,15
